student_id,resource_id,rating,time_spent_minutes,completed
STU-2026-0002,RES-007,3,18,true
STU-2026-0002,RES-008,NaN,29,true
STU-2026-0003,RES-026,5,24,true
STU-2026-0003,RES-027,4,36,true
STU-2026-0003,RES-029,5,44,true
STU-2026-0004,RES-031,NaN,6,false
STU-2026-0004,RES-032,3,17,true
STU-2026-0005,RES-001,3,13,true
STU-2026-0005,RES-004,2,4,false
STU-2026-0006,RES-041,4,14,true
STU-2026-0006,RES-044,4,18,true
STU-2026-0007,RES-046,2,5,false
STU-2026-0007,RES-047,3,17,true
STU-2026-0008,RES-026,NaN,23,true
STU-2026-0008,RES-027,5,37,true
STU-2026-0009,RES-020,4,14,true
STU-2026-0009,RES-021,3,16,true
STU-2026-0010,RES-035,4,14,true
STU-2026-0010,RES-036,3,17,true
STU-2026-0011,RES-001,NaN,4,false
STU-2026-0011,RES-003,3,10,true
STU-2026-0012,RES-026,5,22,true
STU-2026-0012,RES-027,5,36,true
STU-2026-0012,RES-029,4,38,true
STU-2026-0013,RES-038,4,16,true
STU-2026-0013,RES-039,3,13,true
STU-2026-0014,RES-041,3,12,true
STU-2026-0014,RES-043,4,21,true
STU-2026-0015,RES-049,2,3,false
STU-2026-0015,RES-050,NaN,21,true
STU-2026-0016,RES-007,4,18,true
STU-2026-0016,RES-023,3,17,true
STU-2026-0017,RES-016,3,15,true
STU-2026-0017,RES-018,4,18,true
STU-2026-0018,RES-031,5,14,true
STU-2026-0018,RES-034,5,27,true
STU-2026-0019,RES-011,NaN,4,false
STU-2026-0019,RES-012,3,17,true
STU-2026-0020,RES-007,4,18,true
STU-2026-0020,RES-011,3,13,true
STU-2026-0001,RES-024,4,32,true
STU-2026-0001,RES-064,NaN,7,false
STU-2026-0001,RES-007,1,12,false
STU-2026-0001,RES-010,NaN,31,true
STU-2026-0001,RES-027,5,48,true
STU-2026-0001,RES-017,5,21,true
STU-2026-0001,RES-075,3,36,true
STU-2026-0001,RES-100,2,16,false
STU-2026-0001,RES-087,5,16,true
STU-2026-0001,RES-001,4,14,true
STU-2026-0002,RES-097,4,19,true
STU-2026-0002,RES-079,4,32,true
STU-2026-0002,RES-064,5,13,true
STU-2026-0002,RES-093,1,7,false
STU-2026-0002,RES-049,4,13,true
STU-2026-0002,RES-006,4,8,true
STU-2026-0002,RES-067,1,7,false
STU-2026-0003,RES-048,3,23,true
STU-2026-0003,RES-004,5,10,true
STU-2026-0003,RES-015,NaN,28,false
STU-2026-0003,RES-053,5,14,true
STU-2026-0003,RES-088,5,29,true
STU-2026-0003,RES-025,3,14,false
STU-2026-0003,RES-012,5,24,true
STU-2026-0003,RES-075,4,51,true
STU-2026-0003,RES-063,5,19,true
STU-2026-0003,RES-040,4,37,true
STU-2026-0003,RES-071,NaN,17,true
STU-2026-0003,RES-059,5,20,true
STU-2026-0003,RES-085,5,32,true
STU-2026-0003,RES-079,NaN,42,true
STU-2026-0003,RES-067,1,7,false
STU-2026-0004,RES-018,3,27,true
STU-2026-0004,RES-013,5,15,true
STU-2026-0004,RES-078,5,27,true
STU-2026-0004,RES-023,2,10,false
STU-2026-0004,RES-061,5,31,true
STU-2026-0004,RES-037,4,24,true
STU-2026-0004,RES-064,4,13,true
STU-2026-0004,RES-059,4,19,true
STU-2026-0004,RES-036,5,18,true
STU-2026-0004,RES-090,4,18,true
STU-2026-0004,RES-024,5,27,true
STU-2026-0004,RES-004,5,12,true
STU-2026-0004,RES-082,5,10,true
STU-2026-0004,RES-083,NaN,13,false
STU-2026-0005,RES-094,4,33,true
STU-2026-0005,RES-076,3,48,true
STU-2026-0005,RES-045,2,19,false
STU-2026-0005,RES-060,4,42,true
STU-2026-0005,RES-035,4,16,true
STU-2026-0005,RES-091,5,15,true
STU-2026-0005,RES-070,4,41,true
STU-2026-0005,RES-088,NaN,25,true
STU-2026-0005,RES-034,NaN,7,false
STU-2026-0005,RES-038,5,18,true
STU-2026-0005,RES-092,3,24,true
STU-2026-0005,RES-040,5,32,true
STU-2026-0005,RES-021,3,21,true
STU-2026-0005,RES-079,4,38,true
STU-2026-0006,RES-059,4,20,true
STU-2026-0006,RES-078,5,19,true
STU-2026-0006,RES-055,5,17,true
STU-2026-0006,RES-069,3,25,true
STU-2026-0006,RES-011,3,13,true
STU-2026-0006,RES-021,5,25,true
STU-2026-0006,RES-072,NaN,10,false
STU-2026-0006,RES-053,4,16,true
STU-2026-0006,RES-060,5,40,true
STU-2026-0006,RES-082,5,10,true
STU-2026-0006,RES-067,NaN,16,false
STU-2026-0007,RES-039,5,19,true
STU-2026-0007,RES-093,5,12,true
STU-2026-0007,RES-056,4,33,true
STU-2026-0007,RES-070,4,31,true
STU-2026-0007,RES-096,1,10,false
STU-2026-0007,RES-022,4,32,true
STU-2026-0007,RES-057,5,16,true
