student_id,subject,weak_concept,academic_level,learning_style,past_interactions
fSTU-2026-0002,Mathematiques,algebre,intermediate,kinesthetic,"RES-007;RES-008;RES-097;RES-079;RES-064;RES-093;RES-049;RES-006;RES-067"
STU-2026-0003,Mathematiques,derivees partielles,advanced,textual,"RES-026;RES-027;RES-029;RES-048;RES-004;RES-015;RES-053;RES-088;RES-025;RES-012;RES-075;RES-063;RES-040;RES-071;RES-059;RES-085;RES-079;RES-067"
STU-2026-0004,Physique,mecanique,beginner,visual,"RES-031;RES-032;RES-018;RES-013;RES-078;RES-023;RES-061;RES-037;RES-064;RES-059;RES-036;RES-090;RES-024;RES-004;RES-082;RES-083"
STU-2026-0005,Mathematiques,arithmetique,beginner,kinesthetic,"RES-001;RES-004;RES-094;RES-076;RES-045;RES-060;RES-035;RES-091;RES-070;RES-088;RES-034;RES-038;RES-092;RES-040;RES-021;RES-079"
STU-2026-0006,Chimie,reactions,intermediate,visual,"RES-041;RES-044;RES-059;RES-078;RES-055;RES-069;RES-011;RES-021;RES-072;RES-053;RES-060;RES-082;RES-067"
STU-2026-0007,Francais,grammaire,beginner,textual,"RES-046;RES-047;RES-039;RES-093;RES-056;RES-070;RES-096;RES-022;RES-057;RES-007;RES-060;RES-038"
STU-2026-0008,Mathematiques,derivees,advanced,visual,"RES-026;RES-027;RES-097;RES-008;RES-037;RES-060;RES-078;RES-085;RES-057;RES-062;RES-080;RES-028;RES-031;RES-047;RES-035;RES-064;RES-002;RES-087;RES-081;RES-007;RES-061;RES-056;RES-079;RES-014;RES-021;RES-054"
STU-2026-0009,Mathematiques,statistiques,intermediate,kinesthetic,"RES-020;RES-021;RES-044;RES-066;RES-043;RES-096;RES-041;RES-059;RES-018;RES-011;RES-082;RES-006"
STU-2026-0010,Physique,electricite,intermediate,visual,"RES-035;RES-036;RES-031;RES-053;RES-007;RES-061;RES-068;RES-063;RES-056;RES-023;RES-043;RES-083;RES-059;RES-003;RES-089;RES-005;RES-088;RES-072;RES-055;RES-013;RES-051;RES-002;RES-040"
STU-2026-0011,Mathematiques,fractions,beginner,auditory,"RES-001;RES-003;RES-033;RES-064;RES-073;RES-090;RES-043;RES-075;RES-083;RES-017;RES-066"
STU-2026-0012,Mathematiques,derivees partielles,advanced,kinesthetic,"RES-026;RES-027;RES-029;RES-092;RES-066;RES-009;RES-065;RES-081;RES-015;RES-028;RES-041"
STU-2026-0013,Physique,optique,intermediate,visual,"RES-038;RES-039;RES-078;RES-056;RES-063;RES-030;RES-032;RES-034;RES-088;RES-064;RES-020;RES-023"
STU-2026-0014,Chimie,liaisons,intermediate,auditory,"RES-041;RES-043;RES-010;RES-083;RES-018;RES-065;RES-093;RES-001;RES-089;RES-004;RES-034;RES-081;RES-050;RES-009;RES-028;RES-025"
STU-2026-0015,Francais,comprehension,beginner,textual,"RES-049;RES-050;RES-001;RES-054;RES-098;RES-028;RES-051;RES-095;RES-036;RES-022;RES-019;RES-012;RES-058;RES-009;RES-072;RES-066;RES-006"
