student_id,subject,weak_concept,academic_level,learning_style,past_interactions
STU-2026-0001,Mathematiques,fractions,beginner,visual,"['RES-001','RES-002']"
STU-2026-0002,Mathematiques,algebre,intermediate,kinesthetic,"['RES-007','RES-008']"
STU-2026-0003,Mathematiques,derivees partielles,advanced,auditory,"['RES-026','RES-027','RES-029']"
STU-2026-0004,Physique,mecanique,beginner,visual,"['RES-031','RES-032']"
STU-2026-0005,Mathematiques,arithmetique,beginner,kinesthetic,"['RES-001','RES-004']"
STU-2026-0006,Chimie,reactions,intermediate,visual,"['RES-041','RES-044']"
STU-2026-0007,Francais,grammaire,beginner,auditory,"['RES-046','RES-047']"
STU-2026-0008,Mathematiques,derivees,advanced,visual,"['RES-026','RES-027']"
STU-2026-0009,Mathematiques,statistiques,intermediate,kinesthetic,"['RES-020','RES-021']"
STU-2026-0010,Physique,electricite,intermediate,visual,"['RES-035','RES-036']"
STU-2026-0011,Mathematiques,fractions,beginner,auditory,"['RES-001','RES-003']"
STU-2026-0012,Mathematiques,derivees partielles,advanced,kinesthetic,"['RES-027','RES-029']"
STU-2026-0013,Physique,optique,intermediate,visual,"['RES-038','RES-039']"
STU-2026-0014,Chimie,liaisons,intermediate,auditory,"['RES-041','RES-043']"
STU-2026-0015,Francais,comprehension,beginner,visual,"['RES-049','RES-050']"
STU-2026-0016,Mathematiques,fonctions,intermediate,kinesthetic,"['RES-007','RES-023']"
STU-2026-0017,Mathematiques,probabilites,intermediate,auditory,"['RES-016','RES-018']"
STU-2026-0018,Physique,mecanique,advanced,visual,"['RES-031','RES-034']"
STU-2026-0019,Mathematiques,geometrie,beginner,kinesthetic,"['RES-011','RES-012']"
STU-2026-0020,Mathematiques,algebre,intermediate,visual,"['RES-007','RES-011']"
